num_comps,dr%,DBI,ARI,completeness,v_measure,homogeneity
141, 0.0, 5.5767, 0.5169, 0.5382, 0.5371, 0.5359
136, 3.5461, 5.4492, 0.5047, 0.5191, 0.5191, 0.519
131, 7.0922, 5.423, 0.5464, 0.5815, 0.5813, 0.5812
126, 10.6383, 5.0837, 0.2716, 0.335, 0.3119, 0.2917
121, 14.1844, 5.3071, 0.5457, 0.5724, 0.5723, 0.5721
116, 17.7305, 5.2458, 0.5457, 0.5724, 0.5723, 0.5721
111, 21.2766, 4.8609, 0.2169, 0.2925, 0.2701, 0.2509
106, 24.8227, 5.091, 0.3755, 0.3993, 0.3911, 0.3833
101, 28.3688, 4.9921, 0.5311, 0.5524, 0.5521, 0.5518
96, 31.9149, 4.9124, 0.5457, 0.5724, 0.5723, 0.5721
91, 35.461, 4.75, 0.3444, 0.3792, 0.3678, 0.357
86, 39.0071, 4.7487, 0.3854, 0.4058, 0.3985, 0.3914
