reducer
num_comps----dr%----davies_bouldin_score----ARI----completeness----v_measure----homogeneity


none
18872, -13284.3972, 6.812, 0.3039, 0.3098, 0.3082, 0.3066


pca
141, 0.0, 6.8477, 0.2791, 0.3458, 0.341, 0.3363
136, 3.5461, 6.7346, 0.215, 0.3154, 0.3049, 0.295
131, 7.0922, 6.4683, 0.2134, 0.2353, 0.2189, 0.2045
126, 10.6383, 6.262, 0.1381, 0.2657, 0.2424, 0.2228
121, 14.1844, 6.3461, 0.1472, 0.2392, 0.2187, 0.2015
116, 17.7305, 6.5399, 0.1505, 0.1876, 0.1822, 0.177
111, 21.2766, 5.4791, 0.0985, 0.2077, 0.1671, 0.1397
106, 24.8227, 3.5041, 0.014, 0.1431, 0.0861, 0.0616
101, 28.3688, 3.3784, 0.0166, 0.2526, 0.1365, 0.0935
96, 31.9149, 6.1204, 0.1111, 0.1369, 0.1264, 0.1173
91, 35.461, 4.5081, 0.0791, 0.2167, 0.1733, 0.1444
86, 39.0071, 5.878, 0.2355, 0.2515, 0.2493, 0.2472


kpca,lin
141, 0.0, 6.8199, 0.2536, 0.3293, 0.3233, 0.3175
136, 3.5461, 6.7346, 0.215, 0.3154, 0.3049, 0.295
131, 7.0922, 6.4683, 0.2134, 0.2353, 0.2189, 0.2045
126, 10.6383, 6.262, 0.1381, 0.2657, 0.2424, 0.2228
121, 14.1844, 6.3461, 0.1472, 0.2392, 0.2187, 0.2015
116, 17.7305, 6.5399, 0.1505, 0.1876, 0.1822, 0.177
111, 21.2766, 4.6834, 0.034, 0.1534, 0.114, 0.0907
106, 24.8227, 5.4615, 0.0482, 0.1146, 0.0927, 0.0779
101, 28.3688, 4.2727, 0.036, 0.1512, 0.1085, 0.0846
96, 31.9149, 2.4109, 0.0033, 0.1843, 0.0888, 0.0585
91, 35.461, 5.9653, 0.1456, 0.1883, 0.1829, 0.1778
86, 39.0071, 4.6096, 0.1045, 0.2533, 0.1991, 0.1641


kpca,poly
141, 0.0, 7.0191, 0.3698, 0.4405, 0.4356, 0.4307
136, 3.5461, 6.7346, 0.215, 0.3154, 0.3049, 0.295
131, 7.0922, 6.4684, 0.2134, 0.2353, 0.2189, 0.2045
126, 10.6383, 6.2621, 0.1381, 0.2657, 0.2424, 0.2228
121, 14.1844, 6.3462, 0.1472, 0.2392, 0.2187, 0.2015
116, 17.7305, 6.54, 0.1505, 0.1876, 0.1822, 0.177
111, 21.2766, 4.6834, 0.034, 0.1534, 0.114, 0.0907
106, 24.8227, 5.4615, 0.0482, 0.1146, 0.0927, 0.0779
101, 28.3688, 4.2728, 0.036, 0.1512, 0.1085, 0.0846
96, 31.9149, 2.411, 0.0033, 0.1843, 0.0888, 0.0585
91, 35.461, 5.9654, 0.1456, 0.1883, 0.1829, 0.1778
86, 39.0071, 4.6097, 0.1045, 0.2533, 0.1991, 0.1641


kpca,cos
141, 0.0, 6.8083, 0.2898, 0.2997, 0.2978, 0.2959
136, 3.5461, 6.7346, 0.215, 0.3154, 0.3049, 0.295
131, 7.0922, 6.4683, 0.2134, 0.2353, 0.2189, 0.2045
126, 10.6383, 6.262, 0.1381, 0.2657, 0.2424, 0.2228
121, 14.1844, 6.3461, 0.1472, 0.2392, 0.2187, 0.2015
116, 17.7305, 6.5399, 0.1505, 0.1876, 0.1822, 0.177
111, 21.2766, 4.6834, 0.034, 0.1534, 0.114, 0.0907
106, 24.8227, 5.4615, 0.0482, 0.1146, 0.0927, 0.0779
101, 28.3688, 4.2727, 0.036, 0.1512, 0.1085, 0.0846
96, 31.9149, 2.4109, 0.0033, 0.1843, 0.0888, 0.0585
91, 35.461, 5.9653, 0.1456, 0.1883, 0.1829, 0.1778
86, 39.0071, 4.6096, 0.1045, 0.2533, 0.1991, 0.1641


kpca,sig
141, 0.0, 6.812, 0.3039, 0.3098, 0.3082, 0.3066
136, 3.5461, 6.7345, 0.215, 0.3154, 0.3049, 0.295
131, 7.0922, 6.4682, 0.2134, 0.2353, 0.2189, 0.2045
126, 10.6383, 6.2619, 0.1381, 0.2657, 0.2424, 0.2228
121, 14.1844, 6.346, 0.1472, 0.2392, 0.2187, 0.2015
116, 17.7305, 6.5399, 0.1505, 0.1876, 0.1822, 0.177
111, 21.2766, 4.6834, 0.034, 0.1534, 0.114, 0.0907
106, 24.8227, 5.4615, 0.0482, 0.1146, 0.0927, 0.0779
101, 28.3688, 4.2727, 0.036, 0.1512, 0.1085, 0.0846
96, 31.9149, 2.4109, 0.0033, 0.1843, 0.0888, 0.0585
91, 35.461, 5.9653, 0.1456, 0.1883, 0.1829, 0.1778
86, 39.0071, 4.6096, 0.1045, 0.2533, 0.1991, 0.1641

